Unnamed: 0	title	artist	top genre	year	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	track.lyrics	artist.bio
493	Reality (feat. Janieck Devy) - Radio Edit	Lost Frequencies	belgian edm	2017	122	64	73	-7	8	53	158	2	4	59		"Felix De Laet (born 30 November 1993), known by his stage name Lost Frequencies, is a Belgian DJ and music producer. He became famous with his remix of ""Are You with Me"" by country artist Easton Corbin. The song had originally appeared in Corbin's 2012 album All Over the Road, but had not been released as a single. Lost Frequencies remixed the song and released it as a single on 27 October 2014. The track topped the Belgian Ultratop chart on 15 November 2014 also reaching number two in the Belgian Wallonia francophone chart as well. <a href=""https://www.last.fm/music/Lost+Frequencies"">Read more on Last.fm</a>"
494	Angel	Fifth Harmony	dance pop	2017	124	53	74	-6	35	13	189	0	4	59	"[Intro: Normani & Lauren]
Who said I was an angel?
Who said I was an angel?
Oh yeah

[Verse 1: Normani]
We was just a moment, nothing serious
Never really paid you no mind
Dropped the bag, started paying attention
Should've never lied
Should’ve never not kept your word
Woulda had a reason to keep mine
You was too way inconsistent
Should've never lied

[Pre-Chorus: Lauren]
Should've never crossed that line with ya
Everything was cool, just drinkin’ with ya
Way too young to be up in handcuffs
Wasn't tryna spend my life on the phone with ya
Gotta keep it on one hundred with ya
The original me wouldn't fuck with ya
And I was beginning to fuck with ya

[Chorus: Dinah, with Ally & (Lauren)]
Who said I was an angel?
Who said I was an angel? (Oh yeah)
When you look at me, what do you see?
Open your eyes, I'm more brilliant than you'll ever be
Who said I was an angel?

[Verse 2: Ally]
Yeah, won't lie and say I don't lie
Yeah, I might've told a few lies, yeah
Won’t lie and say I didn’t try
But you're only worth a few tries, yeah
Track star, think you’re running these streets
You ain't the only one running the streets
Stay making ground like I only wear cleats, yeah

[Pre-Chorus: Dinah]
Should've never crossed that line with ya
Everything was cool, just drinkin' with ya
Way too young to be up in handcuffs
Wasn’t tryna spend my life on the phone with ya
Gotta keep it on one hundred with ya
The original me wouldn't fuck with ya
And I was beginning to fuck with ya

[Chorus: Dinah + (Normani) & (Ally) & All]
Who said I was an angel? (But you was wrong, oh yeah)
Who said I was an angel? (Oh, I'm no angel, when you look at me)
When you look at me, what do you see? (Oh, what do you see?)
Open your eyes, I'm more brilliant than you'll ever be
Who said I was an angel?
Who said I was an angel? Oh

[Bridge]
Oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh, oh, oh
I want it, I want it, oh, oh, I want it
Ah, ah, ah, ah, ah, ah, ah, ah
I want it, I want it, ah, ah

[Chorus: Normani, Dinah, Both & (Lauren)]
Who said I was an angel? (Who said I was an angel?
Didn't know the real me, I'm far from an angel)
Who said I was an angel? (Never took the time out
Never had time to figure me out, when you look at me)
When you look at me, what do you see? (Oh, what do you see?)
Open your eyes, I'm more brilliant than you'll ever be, yeah
Who said I was an angel?
(Who said I was a, an angel? Oh)"	"Fifth Harmony (commonly initialized as 5H) was a four-member American girl group formed on the second season of The X Factor in 2012. The group are from Miami, Florida, United States and consist of Ally Brooke, Normani Kordei, Dinah Jane and Lauren Jauregui. Camila Cabello left the group on the 18th of December 2016. 

They signed a joint deal with Syco Music, owned by Simon Cowell, and Epic Records, L.A. Reid's record label, after finishing in third place behind Tate Stevens and Carly Rose Sonenclar on the show. <a href=""https://www.last.fm/music/Fifth+Harmony"">Read more on Last.fm</a>"
495	Touch (feat. Kid Ink)	Little Mix	dance pop	2017	102	75	64	-4	49	53	203	4	11	59	"[Verse 1: Leigh-Anne Pinnock & Kid Ink]
You and I and nobody else (Ah-yeah)
Feeling feelings I've never felt (It's Kid Ink!)
The way you got me under your spell
Don't you keep it all to yourself

[Pre-Chorus: Perrie Edwards & Kid Ink]
So, won't you take it?
I feel like for the first time I am not faking (Hey!)
Fingers on my buttons and now you're playing
Master of anticipation, don't you keep it all to yourself (Woo!)

[Chorus: All & Kid Ink]
Just a touch of your love is enough
To knock me off of my feet all week
Just a touch of your love, oh
Just a touch of your love, oh
Just a touch of your love is enough
To take control of my whole body
Just a touch of your love, oh
Just a touch of your love, oh (Oh!)
Just a touch of your love is enough
To knock me off of my feet, all week
Just a touch of your love, oh
Just a touch of your love, oh
Just a touch of your love is enough
To take control of my whole body
Just a touch of your love, oh
Just a touch of your love, oh

[Verse 2: Jesy Nelson & All]
Photograph with no T-shirt on
Why you making me wait so long? (Wait so long?)
I promise to keep this a secret, I'll never tell
But don't you keep it all to yourself

[Pre-Chorus: Jade Thirlwall & Kid Ink]
So won't you take it? (Hey!)
I feel like for the first time I am not faking (Hey!)
Fingers on my buttons and now you're playing (Yeah)
Master of anticipation, don't you keep it all to yourself, to yourself

[Chorus: All, Perrie Edwards, Kid Ink & Jesy Nelson]
To knock me off of my feet all week (Knock me off my feet)
Just a touch of your love, oh (Oh-oh-oh-oh)
Just a touch of your love, oh (Oh-oh-oh-oh-oh, just a touch, now)
Just a touch of your love is enough
To take control of my whole body (Body)
Just a touch of your love (Your love, babe), oh
Just a touch of your love, hey (Yeah, it's Kid Ink!)

[Verse 3: Kid Ink]
There ain't no need to rush
We gon' be up all night 'til the day come
You say you need just a touch
But you know I got a lot more where that came from
Back up, back up, that thang, girl
Roll up I got that flame, girl (Oh)
I'ma keep doing the same, like that
If you keep touchin' my chain, like that (Uh)

[Bridge: Kid Ink]
You know I've been unfair, tryna wash my hands
I just need to hold it, baby, let me show ya

[Chorus: All, Perrie Edwards, Jesy Nelson, Leigh-Anne Pinnock & (Jade Thirlwall)]
Just a touch of your love is enough
To knock me off of my feet all week (Off my feet)
Just a touch of your love, oh (Hey)
Just a touch of your love, oh (Just a touch, your love)
Just a touch of your love is enough
To take control of my whole body (Body)
Just a touch of your love, oh (Only a touch of your love)
Just a touch of your love, oh (One touch of your—!)
(Oh) Just a touch of your love is enough
To knock me off of my feet, all week (Knock me off of my feet, all week)
Just a touch of your love (Just a touch)
Just a touch of your love (Just a touch)
Just a touch of your love is enough
To take control of my whole body (Oh, woah, yeah-ey)
Just a touch of your love, hey!
Just a touch of your love (Just a touch of your love), oh!"	"Initially surpassing the achievements of One Direction and JLS by becoming the first group to win The X Factor in the U.K., four-piece girl band Little Mix were one of the few success stories to emerge from the competition's underperforming and controversial eighth season. Jade Thirlwall (who had auditioned for two previous series) and Perrie Edwards (both from South Shields), Jesy Nelson (from Romford, East London), and Leigh-Anne Pinnock (from High Wycombe) had all originally auditioned as solo artists <a href=""https://www.last.fm/music/Little+Mix"">Read more on Last.fm</a>"
496	We Don't Talk Anymore - DROELOE Remix	Charlie Puth	dance pop	2017	100	82	70	-5	45	67	218	49	22	59	"[Chorus: Charlie Puth]
We don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't love anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do

[Verse 1: Charlie Puth]
I just heard you found the one you've been looking
You've been looking for
I wish I would have known that wasn't me
'Cause even after all this time I still wonder
Why I can't move on
Just the way you did so easily

[Pre-Chorus 1: Charlie Puth]
Don't wanna know
What kind of dress you're wearing tonight
If he's holding onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

[Chorus: Charlie Puth]
That we don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't love anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do

[Verse 2: Selena Gomez]
I just hope you're lying next to somebody
Who knows how to love you like me
There must be a good reason that you're gone
Every now and then I think you
Might want me to come show up at your door
But I'm just too afraid that I'll be wrong

[Pre-Chorus 2: Selena Gomez]
Don't wanna know
If you're looking into her eyes
If she's holding onto you so tight
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

[Chorus: Charlie Puth]
That we don't talk anymore, we don't talk anymore
We don't talk anymore, like we used to do
We don't love anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do
Like we used to do

[Pre-Chorus 2: Charlie Puth & Selena Gomez]
Don't wanna know
What kind of dress you're wearing tonight
If he's giving it to you just right
The way I did before
I overdosed
Should've known your love was a game
Now I can't get you out of my brain
Oh, it's such a shame

[Chorus: Charlie Puth & Selena Gomez]
That we don't talk anymore
We don't laugh anymore
What was all of it for?
Oh, we don't talk anymore
Like we used to do

[Outro: Charlie Puth]
We don't talk anymore, oh, oh
We don't talk anymore, oh, whoa
We don't talk anymore"	"Charlie Puth (born Charles Otto Puth, Jr., December 2, 1991 in Rumson, New Jersey, United States) is a American pop singer from New Jersey who gained his fame through YouTube. Ellen DeGeneres was an early supporter and she signed the Berklee College alum -- along with his duet partner, Emily Luther -- to her Warner Bros.-affiliated ElevenEleven label. Though nothing materialized from that deal, Puth eventually signed with Atlantic. In early 2015, he released his debut single, ""Marvin Gaye,"" a duet with Meghan Trainor. <a href=""https://www.last.fm/music/Charlie+Puth"">Read more on Last.fm</a>"
497	Love Incredible (feat. Camila Cabello)	Cashmere Cat	downtempo	2017	167	50	37	-9	20	21	180	6	12	59	"[Verse 1: Camila Cabello]
I forgot the feeling
The feeling of being alone but not lonely
I guess when you touch me
My fears and my secrets belong to you only
Close the door behind you
Just let me love you, slow you, hold you
My mind stays on you
So does my body, let me show you

[Pre-Chorus: Camila Cabello]
But I wanna come through
And I wanna need you
Could you be my muse?
Lately all I think about is you
And I'm never sick about it

[Chorus: Camila Cabello]
This love's incredible-credible
Have a little mercy on me, baby, you got me
Wanting more, wanting more
Of your love
-'s incredible-credible
Have a little mercy on me, baby, you got me
Wanting more, wanting more
Of your love

[Verse 2: Camila Cabello]
I know you've been hurt
By the way that you look away
From me too early, ahh-ahh
You don't like to talk about it
And that's fine, I get it
So don't worry

[Pre-Chorus: Camila Cabello]
But I wanna come through
And I wanna need you
Could you be my muse?
Lately all I think about is you
I'm never sick about it

[Chorus: Camila Cabello]
This love's incredible-credible
Have a little mercy on me, baby, you got me
Wanting more, wanting more
Of your love
This love's incredible-credible
Have a little mercy on me, baby, you got me
Wanting more, wanting more
Of your love

[Post-Chorus: Camila Cabello]
Wanting more, wanting more
Of your love
Wanting more, wanting more
Of your love
This love
Wanting more, wanting more
Love incredible

[Outro: Camila Cabello]
Your love
Your love
Love incredible
Your love
Your love
Love"	"Magnus August Høiberg, best known as Cashmere Cat, is a Norwegian musician, producer and DJ (representing Norway in the DMC World DJ Championships as DJ FINAL 2006-2009). He appeared on the international electronic dance music scene in 2012, with remixes/edits of Lana Del Rey, 2 Chainz and Jeremih. His debut EP ""Mirror Maru"" was released in October 2012 on the Belgian Pelican Fly label. Cashmere Cat's take on seductive R&B, futuristic hip-hop and <a href=""https://www.last.fm/music/Cashmere+Cat"">Read more on Last.fm</a>"
498	No Vacancy (with SebastiÃ¡n Yatra)	OneRepublic	dance pop	2017	100	76	69	-4	14	59	223	8	4	57	"Selena Gomez - Bad Liar
Liam Payne - Strip That Down feat. Quavo
Bebe Rexha - The Way I Are (Dance With Somebody) feat. Lil Wayne
Katy Perry - Swish Swish feat. Nicki Minaj
Camila Cabello - Crying in the Club
XXXTENTACION - Looking for a Star
Robin Schulz - OK feat. James Blunt
Linkin Park - Sorry for Now
The Aces - Baby Who
Royal Blood - Hook, Line & Sinker
Francis and the Lights - May I Have This Dance (Remix) feat. Chance the Rapper
Lauv - I Like Me Better
Alan Walker - Tired feat. Gavin James
MORTEN - Keep Me From You feat. ODA
Muse - Dig Down
Phoenix - Ti Amo
MisterWives - Revolution
The Chain Gang Of 1974 - Looking For Love
A R I Z O N A - Running
Jasmine Thompson - Old Friends (Jonas Blue Remix)
RAYE - The Line
Iggy Azalea - Switch feat. Anitta
Vince Staples - Big Fish
Lil Yachty - X Men feat. Evander Griim
Katy Perry - Bon Appétit (MUNA Remix)
Seven Lions - Don’t Leave feat. Ellie Goulding
Ásgeir - I Should Live in Salt
CVBZ - Vicodin
Cloves - California Numb
Harlœ - More Than Ever
Buddy - World Of Wonders
The Preatures - Girlhood
Mondo Cozmo - Automatic
Jillian Jacqueline - Hate Me
Flor - warm blood
Terror Jr - Death Wish
OneRepublic - No Vacancy feat. Sebastián Yatra
Naaz - Words
Lana Del Rey - Coachella - Woodstock In My Mind
Grizzly Bear - Mourning Sound
Blink-182 - Last Train Home
Rancid - Telegraph Avenue
Papa Roach - Bleeding Through
All Time Low - Nice2KnoU
Nothing, nowhere - Clarity In Kerosene
Wild Cub - Somewhere
Ed Sheeran - Castle on the Hill (Seeb Remix)
Astrid S - Party's Over
DROELOE & San Holo - Lines of the Broken feat. CUT_
Local Natives - The Only Heirs
Wavves - No Shade
Leon Else - What I Won't Do
Tinashe - Flame (Kaskade Remix)
Pierce Fulton - Better Places feat. NVDES
Janelle Kroll - Barricade
Sabrina Claudio - Unravel Me
Andreas Moss - Stop Me
Lincoln Jesser - Somebody Will feat. Gabrielle Current
Broken Social Scene - Hug Of Thunder
Henry Jamison - The Jacket
Madison Beer - Dead
Kranium - Can't Believe feat. Ty Dolla $ign & WizKid
Danger Mouse - Chase Me feat. Run the Jewels & Big Boi
MIKExANGEL - One Time
Mali Music - My Life
Jay 305 - When You Say feat. Omarion
Elephante - Troubled feat. Deb's Daughter
Goapele - Stay feat. BJ The Chicago Kid
Gryffin & Illenium - Feel Good feat. Daya (Crankdat Remix)
Nick Hakim - Cuffed
Kirstin - Break A Little
Hillsong United - Wonder
Jason Isbell and the 400 Unit - If We Were Vampires
Rascal Flatts - Back To Us
Chris Cornell - Seasons"	"OneRepublic is an American, self-proclaimed ""genreless"", band formed in Colorado Springs in 2002 by Ryan Tedder and Zach Filkins. After a few years of moderate success, they have since drawn mainstream attention with the release of their single ""Apologize,"" which has sold in excess of 7 million singles worldwide.  The song, according to SoundScan Data, is one of only two songs that have reached 3 million legal downloads in history.  A remix of ""Apologize"" was featured on Timbaland's Shock Value and the band's debut album <a href=""https://www.last.fm/music/OneRepublic"">Read more on Last.fm</a>"
499	Rich Boy	Galantis	big room	2017	110	90	74	-2	8	65	184	7	5	55	"[Chorus]
I don't need a rich boy
I don't want your money
No, you don't gotta spend nothing on me
All I want is sweet, sweet love, sweet, sweet love (hey!)
I don't need a rich boy
I don't want dollars
No, you don't gotta be a high roller
All I want is sweet, sweet love, is sweet, sweet love (hey!)

[Break]
Uhh!
Hey!
Uhh!
Oooooh
Hey!
Is sweet, sweet love, sweet, sweet love
All I want, sweet, sweet love
Hey!
Is sweet, sweet love, sweet, sweet love
All I want, sweet, sweet love, sweet, sweet love
Hey!

[Chorus]
I don't need a rich boy
I don't want your money
No, you don't gotta spend nothing on me
All I want is sweet, sweet love
I don't need a rich boy
I don't want dollars
No, you don't gotta be a high roller
All I want is sweet, sweet love, is sweet, sweet love (hey!)
I don't need a rich boy
I don't want your money
No, you don't gotta spend nothing on me
All I want is sweet, sweet love (hey!)
I don't need a rich boy
I don't want dollars
No, you don't gotta be a high roller
All I want is sweet, sweet love, is sweet, sweet love (hey!)

[Break]
Hey!
Uhh!
Whoo!
Hey!
Uhh!
Hey!
Hey!
Uhh!
Hey!
Hey!

[Chorus]
I don't need a rich boy
I don't want your money
No, you don't gotta spend nothing on me
All I want is sweet, sweet love (hey!)
I don't need a rich boy
I don't want dollars
No, you don't gotta be a high roller
All I want is sweet, sweet love, sweet, sweet love (hey!)

[Break]
Oooooh
Whoo!
Hey!
Hey!
Uhh!
Hey!
Oooooh
Hey!
Whoo!
All I want
Sweet sweet love
Sweet sweet love
Hey!
Whoo!
All I want
Sweet sweet love
Sweet sweet love
Hey!"	"Featuring Christian Karlsson of Miike Snow and Linus Eklöw from Style of Eye, Galantis are a Swedish superduo who represent the place where EDM and pop meet. Karlsson (the man behind hits like Britney Spears' ""Toxic"") met Eklöw (the man behind hits like Icona Pop's ""I Love It"") at the Robotberget studio in Stockholm. Their mutual admiration society turned into a project once they began discussing a more poignant style of EDM that retained pop's passion. <a href=""https://www.last.fm/music/Galantis"">Read more on Last.fm</a>"
500	Lust for Life (with The Weeknd)	Lana Del Rey	art pop	2017	100	67	51	-9	36	27	264	58	6	54	"Charlie Puth - Attention
Shawn Mendes - There's Nothing Holdin' Me Back
Luis Fonsi & Daddy Yankee - Despacito feat. Justin Bieber
Lana Del Rey - Lust for Life feat. The Weeknd
Dua Lipa - Lost In Your Light feat. Miguel
Blackbear - make daddy proud
Paramore - Hard Times
Big Boi - Mic Jack feat. Adam Levine
Incubus - Loneliest
Beatrich - About
Sigrid - Plot Twist
Lady Gaga - The Cure
COIN - Feeling
Jillian Jacqueline - Reasons
MØ - Nights With You
Youngr - Monsters
Bruno Mars - That's What I Like feat. Gucci Mane
DJ Shadow - Systematic feat. Nas
Tash Sultana - Murder to the Mind
Amy Shark - Drive You Mad
Aaron Espe - Yourself
Shallou - Fictions
AFSHeeN - Pull Me from the Waves feat. Nisha
Linkin Park - Heavy (Nicky Romero Remix) feat. Kiiara
Blackbear - hell is where i dreamt of u and woke up alone
Yoke Lore - Only You
London Grammar - Oh Woman Oh Man
Joywave - Content
Rise Against - The Violence
Have Mercy - Good Christian Man
Two Friends - Emily feat. James Delaney
Flor - overbehind
Bleachers - Hate That You Know Me
Brad Paisley - Drive of Shame feat. Mick Jagger
MisterWives - Drummer Boy
Allday - Baby Spiders feat. Mallrat
Anne-Marie - Ciao Adios (Thomas Rasmus Chill Mix)
Mike Perry - Body to Body feat. Imani Williams
Big Boi - Kill Jill feat. Killer Mike & Jeezy
Jessie Reyez - Blue Ribbon feat. Tim Suby
D.R.A.M. - Gilligan feat. A$AP Rocky & Juicy J
Malay - Shaolin's Theme / Pray feat. 6LACK
Omarion - BDY ON ME
Alex Aiono - Question
Brandon Beal & Olivia Holt - Paradise
Kid Ink - Lottery
RINNGS - Cutting the Cloth
Pool Cosby - Lookin' Up feat. valentein
Jacob Banks - Mercy
NoMB & New Mystics - Can't Catch Me
Chris Stapleton - Last Thing I Needed, First Thing This Morning
Stalking Gia - Siren
Airling - Give Me All You Got
Jasmine Thompson - Wonderland (intro)
Biotin Babies - Not Enough
Anik Khan - Kites
GOLDHOUSE - Sex On Me
Thrupence - Alethea feat. Edward Vanzet
Shawn Hook - Reminding Me feat. Vanessa Hudgens
Panama - Hope for Something
Lo Moon - Loveless (Hudson Mohawke Remix)
Joe Goddard - Electric Lines
Jazz At Lincoln Center Orchestra - 2 Degrees East, 3 Degrees West feat. Wynton Marsalis & Jon Batiste
Haux - Touch
Amtrac - Some of Them feat. MELI
Zipper Club - Regrets"	"Elizabeth Woolridge Grant (born 21 June 1985), better known as Lana Del Rey, is a singer-songwriter and producer from Lake Placid, New York, United States.  Del Rey is known for embellishing her songs and music videos with an eerily nostalgic vibe heavy on Americana themes, including images of surfing, Coney Island, Frank Sinatra, and Marilyn Monroe.  She has also listed a large number of her artistic influences, including Allen Ginsberg, Elvis Presley <a href=""https://www.last.fm/music/Lana+Del+Rey"">Read more on Last.fm</a>"
501	Greenlight (feat. Flo Rida & LunchMoney Lewis)	Pitbull	dance pop	2017	115	83	70	-6	36	63	245	28	27	54	"[Refrain: Pitbull]
Red light, green light
Everybody take a shot
Red light, green light
Give me everything you got
Red light, green light

[Intro: Pitbull]
Mr. 305, Flo Rida and LunchMoney
Three Miami boys, you know what time it is

[Hook: LunchMoney Lewis]
Give me the green light, oh yeah
Cause I'm ready to go
Let's have a good time, let's go
What you waiting for?
We only got one life, one life
And we gon' live it up
So give me the green light, give it to me
Cause I'm ready to go, oh, oh, oh
Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh
Cause I'm ready to go, oh, oh, oh
Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh
(Ride out now, ride out now)
Give me the green light

[Verse 1: Pitbull]
I got the green light mami and you know what that means
That we can do anything, anything that you dream
I wanna make you ooh, ah, till you scream
And I practice what I preach, if you know what I mean
I'm about that mami
Yeah I got the key and I'mma lock that mami
Yeah, we can roll and I'mma rock that mami
I do what I say and say what I mean, now let me jump in between
I'm getting loose in this thing, like OJ the Juice in this thing
Feeling like Left Eye, boy, I burn the roof in this thing
I got all the women getting naked, feeling like Luke in this thing, think it's a game
Now I got the green lit and the green right
All I need is, mami, for you to give me the green light
So I can run through it like an EZ pass
Find the G-spot and step on the gas

[Hook: LunchMoney Lewis]
Give me the green light, oh yeah
Cause I'm ready to go
Let's have a good time, let's go
What you waiting for?
We only got one life, one life
And we gon' live it up
So give me the green light, give it to me
Cause I'm ready to go, oh, oh, oh
Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh
Cause I'm ready to go, oh, oh, oh
Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh
(Ride out now, ride out now)
Give me the green light

[Verse 2: Flo Rida]
Baby, I got the Midas, I'm Flo Rida
You know I'm all about that thing, that thing
If she ready then I'm ready
Pull up on her with the Chevy
Real talk when that light turn green (Let go)
Give me what I asked for, I got a passport
Mr. International, I hit the airport
If you knew the kind of work that I transport
That Rihanna do me dirt to the crash course
I like the cleanest, greenest, leanest
Serena, Venus, Flo a Genius, smokin' Phoenix
You never seen this
I have her dream this that 200 on the dash, got me feenin'
So I'm tryna ride out, slide out
Grab the stripes, then the 500 bye bye
Wild out, shout out
Beehive, hit the honeycomb hideout, ayy

[Hook: LunchMoney Lewis]
Give me the green light, oh yeah
Cause I'm ready to go
Let's have a good time, let's go
What you waiting for?
We only got one life, one life
And we gon' live it up
So give me the green light, give it to me
Cause I'm ready to go, oh, oh, oh
Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh
Cause I'm ready to go, oh, oh, oh
Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh
Give me the green light

[Refrain: Pitbull & LunchMoney Lewis]
Red light, green light
Everybody take a shot
Red light, green light
Give me everything you got
Red light, green light
Everybody take a shot
Red light, green light
What you waiting for?

[Hook: LunchMoney Lewis]
Give me the green light, oh yeah
Cause I'm ready to go
Let's have a good time, let's go
What you waiting for?
We only got one life, one life
And we gon' live it up
So give me the green light, give it to me
Cause I'm ready to go, oh, oh, oh
Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh
Cause I'm ready to go, oh, oh, oh
Wee-oh, wee-oh, wee-oh, wee-oh, oh, oh
Give me the green light"	"There are at least 5 artists called Pitbull:
1) Pitbull is an American rapper from Miami.
2) Pitbull was an American indie rock band from Boston.
3) Pitbull is a Belarusian heavy metal project by Petr Elfimov.
4) Pitbull was a hardcore band from Detroit.
5) Pitbull was an Oi! band from Germany



Armando Christian Pérez (born January 15, 1981 in Miami, Florida), better known by the stage name Pitbull , is a Cuban-American rapper signed to his own label, Mr 305 Inc. <a href=""https://www.last.fm/music/Pitbull"">Read more on Last.fm</a>"
502	Influence	Tove Lo	dance pop	2017	105	59	77	-10	11	33	225	10	5	54	"[Verse 1: Tove Lo]
First line, take mine; I'm fine as fuck
Love myself tonight and I think you can feel the same
Moonshine, good time; babe, you're in luck
Cause I will do whatever comes to mind, yeah, go insane

[Pre-Chorus: Tove Lo]
Things I say don't usually come easily
There's one thing I need you now to know 'bout me

[Chorus: Tove Lo]
You know I'm under the influence
So don't trust every word I say, I say
When I'm under the influence
It's a blur, but I want my way, my way
You know I'm under the influence
So don't trust every word I say, I say
Sounds good without making sense
It's a blur, but I want my way, my way
When I'm under the influence

[Verse 2: Tove Lo]
Ticker, flicker; I feel the beat
Hold onto the floor, but I keep spinnin' round and round
Swing me, baby, back on my feet
Hiding in the crowd, we're making love without a sound

[Pre-Chorus: Tove Lo]
Things I say don't usually come easily
There's one thing I need you now to know 'bout me

[Chorus: Tove Lo]
You know I'm under the influence
So don't trust every word I say, I say
When I'm under the influence
It's a blur, but I want my way, my way
You know I'm under the influence
So don't trust every word I say, I say
Sounds good without making sense
It's a blur, but I want my way, my way
When I'm under the influence

[Bridge: Tove Lo]
Boy meets, boy meets, girl meets, girl
This is the best place in the world, ooh
Boy meets, boy meets, girl meets, girl
This is the best place in the world, ooh

[Verse 3: Wiz Khalifa]
So intoxicated and faded
I'm in the club, barely made it
I see the look on your face and it says that you want it later
But you ain't too in the way
And I fly you to different places
You call your crew in amazement
Cause they ain't doing the same shit
Barely knew what your name is, don't care who you just came with
Make a move and get famous, get your mission completed
Usually gotta politic or entertain
But I just got a couple things I wanna know cause everything is moving slow
I usually wouldn't ask this though, but

[Chorus: Tove Lo & Wiz Khalifa]
You know I'm under the influence
So don't trust every word I say, I say (Young Khalifa, man)
When I'm under the influence
It's a blur, but I want my way, my way
You know I'm under the influence (Boy meets, boy meets, girl meets, girl)
So don't trust every word I say, I say
Sounds good without making sense (Boy meets, boy meets, girl meets, girl)
It's a blur, but I want my way, my way
When I'm under the influence"	"Crafting an idiosyncratic blend of pop influenced as much by '80s pop as by contemporary EDM and coupled with raw, brutally honest lyrics, Tove Lo made a name for herself as an award-winning performer and Grammy-nominated songwriter. Born Ebba Tove Elsa Nilsson on October 29, 1987 in a suburb of Stockholm, she began writing poetry and short stories at a young age. She went on to study at the famous Rytmus Musikergymnasiet -- a music-oriented high school comparable to the U. <a href=""https://www.last.fm/music/Tove+Lo"">Read more on Last.fm</a>"
503	Remember I Told You	Nick Jonas	dance pop	2017	113	53	68	-6	4	84	202	14	28	53	"[Chorus: Nick Jonas]
Remember I told you, I need you
Remember the spark that was there
All of the words that I'm saying
Are just a fancy way of saying ""I care""

[Verse 1: Nick Jonas]
I don't suppose you have a moment to spare me
Do you? Do you?
I've been looking for love in all the wrong places
You too? You too?

[Pre-Chorus: Nick Jonas]
I don't like the way you went and told me, ""Oh well""
I have the suspicion you're not being yourself
I don't suppose you have a moment to spare me
Do you? Do you?

[Chorus: Nick Jonas]
Remember I told you, I need you
Remember the spark that was there
All of the words that I'm saying
Are just a fancy way of saying ""I care""

[Verse 2: Anne-Marie]
You're probably somewhere, with someone I don't know
That's cool, and that's cool
And I hope that she gives you, all the things that you deserve
That's true, that's true

[Pre-Chorus: Nick Jonas & Anne-Marie, Nick Jonas]
Listen, I don't like the way you went and told me, ""Oh well""
I have the suspicion you're not being yourself
You're probably somewhere, with someone I don't know
That's cool, and that's cool

[Chorus: Nick Jonas, Anne-Marie & Mike Posner]
Remember I told you, I need you
Remember the spark that was there
All of the words that I'm saying
Are just a fancy way of saying ""I care""

[Verse 3: Mike Posner]
Had to cut it off and we know why
I'm in love with myself, cold inside
Too many shoes in your closet, go some miles
I suck at talking to girls, here goes a try
More woman than I should've in a century
Bitches on the side like a Kennedy
Starting to drain all my energy
I love it, shoot the frame like an enemy, uh
At the same time, and I can't lie
Too many girls for the way that I rock the bassline
You got addicted to the seas of the bassline
Let's see how you're gonna do with the back and forth fameline
After all the shit we been through
I play The Roxy, I ain't 'bout to guestlist you
And I know I'm talking shit, it ain't fair
Hate is just a fancy way saying that I care

[Chorus: Nick Jonas, Anne-Marie & Mike Posner]
Remember I told you, I need you
Remember the spark that was there
All of the words that I'm saying
Are just a fancy way of saying ""I care""
Remember I told you, I need you
Remember the spark that was there
All of the words that I'm saying
Are just a fancy way of saying ""I care"" (Saying I care)"	"Nicholas Jerry ""Nick"" Jonas (born September 16, 1992) is an American singer-songwriter and actor best known as one of the Jonas Brothers, a pop-rock band he formed with his brothers Joe and Kevin. After 2010, Nick has focused primarily on his own career, releasing solo material, appearing in musicals, and acting in film and television.

A performer since the age of seven (the age at which he joined the Broadway cast of Annie Get Your Gun), Nicholas made his songwriting debut in 2002 <a href=""https://www.last.fm/music/Nick+Jonas"">Read more on Last.fm</a>"
